time	V(gatedmirrorout)
5.594030718707247e-09	1.052210e+02
5.594030718765841e-09	1.052209e+02
5.594030718883030e-09	1.052210e+02
5.594030719117403e-09	1.052209e+02
5.594030719586153e-09	1.052209e+02
5.594030719703341e-09	1.052209e+02
5.594030719937715e-09	1.052209e+02
5.594030720406465e-09	1.052209e+02
5.594030721343965e-09	1.052209e+02
5.594030721578338e-09	1.052209e+02
5.594030722047088e-09	1.052209e+02
5.594030722984588e-09	1.052209e+02
5.594030724859588e-09	1.052209e+02
5.594030728609589e-09	1.052209e+02
5.594030736109589e-09	1.052209e+02
5.594030751109589e-09	1.052209e+02
5.594030781109591e-09	1.052209e+02
5.594030788609591e-09	1.052209e+02
5.594030803609591e-09	1.052209e+02
5.594030833609593e-09	1.052209e+02
5.594030893609592e-09	1.052209e+02
5.594030908609592e-09	1.052209e+02
5.594030912359592e-09	1.052209e+02
5.594030919859593e-09	1.052209e+02
5.594030934859593e-09	1.052209e+02
5.594030964859594e-09	1.052209e+02
5.594030972359595e-09	1.052209e+02
5.594030987359595e-09	1.052209e+02
5.594030991109595e-09	1.052209e+02
5.594030998609596e-09	1.052209e+02
5.594031013609596e-09	1.052209e+02
5.594031014078346e-09	1.052209e+02
5.594031014195535e-09	1.052209e+02
5.594031014429908e-09	1.052209e+02
5.594031014898658e-09	1.052209e+02
5.594031015015846e-09	1.052209e+02
5.594031015250220e-09	1.052209e+02
5.594031015718970e-09	1.052209e+02
5.594031015836158e-09	1.052209e+02
5.594031015865453e-09	1.052209e+02
5.594031015924048e-09	1.052209e+02
5.594031016041236e-09	1.052209e+02
5.594031016070531e-09	1.052209e+02
5.594031016129126e-09	1.052209e+02
5.594031016158421e-09	1.052209e+02
5.594031016187716e-09	1.052209e+02
5.594031016246311e-09	1.052209e+02
5.594031016275606e-09	1.052209e+02
5.594031016334200e-09	1.052209e+02
5.594031016451389e-09	1.052209e+02
5.594031016685762e-09	1.052209e+02
5.594031017154512e-09	1.052209e+02
5.594031018092012e-09	1.052209e+02
5.594031019967012e-09	1.052209e+02
5.594031023717012e-09	1.052209e+02
5.594031024654512e-09	1.052209e+02
5.594031024888886e-09	1.052209e+02
5.594031024947480e-09	1.052209e+02
5.626990009322482e-09	1.052209e+02
5.627098718419113e-09	1.052209e+02
5.886447343899672e-09	1.052209e+02
5.915744218899673e-09	1.052209e+02
5.920472860570626e-09	1.048307e+02
5.923541582112249e-09	1.045034e+02
5.925630775103919e-09	1.044123e+02
5.927953862405603e-09	1.043279e+02
5.931460856181809e-09	1.042509e+02
5.935611792616566e-09	1.043272e+02
5.938758515580786e-09	1.044273e+02
5.941860235071141e-09	1.045259e+02
5.945020999132074e-09	1.046243e+02
5.948497391591740e-09	1.047180e+02
5.951738878318624e-09	1.047982e+02
5.954482000925767e-09	1.048541e+02
5.957458296877255e-09	1.049110e+02
5.961047168647441e-09	1.049654e+02
5.968224912187813e-09	1.050710e+02
5.976585445272318e-09	1.053033e+02
5.983855031457992e-09	1.057296e+02
5.991467211375021e-09	1.062508e+02
6.001136738218687e-09	1.068184e+02
6.009957589164164e-09	1.071919e+02
6.019485546461557e-09	1.074618e+02
6.028772672479489e-09	1.075509e+02
